CVEGEO,ENT,NOM_ENT,MUN,NOM_MUN,Poligono,LOC,NOMGEO,POB1,POB42,POB84,EDU1_R,EDU7_R,EDU13_R,EDU28,EDU34,ECO1,ECO7,ECO13,ECO28,AFRO1,DISC4,DISC5,DISC6,SALUD1,SALUD2,SALUD3,SALUD4,SALUD6,VIV0,VIV7,VIV10,VIV27,VIV28,VIV29,VIV81,VIV15,VIV17,VIV20,VIV34,VIV35,VIV36,GM_2020_y,IMN_2020_y,Latitud,Longitud
170020021,17,Morelos,2,Atlatlahucan,1,21,Tlaltetelco (San Miguel Tlaltetelco),2098,1110,988,56.1,96.2,89.2,75,466,885,39,27,808,7,19,35,68,1258,840,255,70,2,806,34,177,449,301,182,30,553,424,531,108,141,492,Bajo,0.859676,18.952159,-98.886945
170020058,17,Morelos,2,Atlatlahucan,1,58,Rancho Teoxtoc,23,12,11,100,50,0,1,10,7,1,2,10,0,0,2,3,20,3,0,1,0,42,2,4,6,2,1,2,7,3,6,1,1,7,Alto,0.664976,18.953798,-98.895895
170020078,17,Morelos,2,Atlatlahucan,1,78,Colonia Alta Vista,47,21,26,25,100,0,1,19,22,1,1,12,0,0,0,3,25,22,9,0,0,46,2,6,12,6,4,1,13,5,12,0,0,14,Medio,0.772633,18.971523,-98.888316
170020080,17,Morelos,2,Atlatlahucan,1,80,Linda Vista,20,10,10,0,100,100,0,5,7,0,0,8,1,0,1,0,11,9,0,0,0,21,3,3,3,1,2,1,5,4,3,0,0,6,Alto,0.658822,18.969407,-98.891804
170030017,17,Morelos,3,Axochiapan,2,17,La Nopalera,412,207,205,29.7,64.4,51.7,71,87,196,61,7,95,0,1,12,12,341,71,6,10,1,106,10,31,58,46,31,43,73,72,63,7,19,65,Alto,0.705752,18.571663,-98.742371
170030073,17,Morelos,3,Axochiapan,2,73,Campo Jicamal,183,95,88,54.5,94.1,83.3,5,48,94,3,5,32,0,0,0,0,163,20,8,1,0,57,7,21,27,22,5,27,38,38,25,2,3,34,Bajo,0.825747,18.558818,-98.769521
170040106,17,Morelos,4,Ayala,3,106,Ampliación Chinameca,17,9,8,100,100,100,0,3,7,0,0,5,1,0,0,0,17,0,0,0,0,5,1,2,0,0,2,1,1,0,4,0,0,4,Alto,0.605363,18.611188,-99.016804
170040139,17,Morelos,4,Ayala,3,139,El Crucero de Chinameca,61,30,31,66.7,100,100,4,11,36,3,2,13,0,0,0,0,51,10,16,1,2,25,0,4,17,16,9,6,18,16,18,4,3,17,Muy bajo,0.908009,18.626111,-99.004167
170040168,17,Morelos,4,Ayala,3,168,Colonia Pablo Torres Burgos,15,6,9,0,100,100,0,6,11,0,1,1,0,1,0,0,14,1,1,0,0,7,0,1,3,1,1,2,3,3,3,2,0,3,Bajo,0.860967,18.619196,-99.006067
170040186,17,Morelos,4,Ayala,3,186,Ampliación la Cucaracha,40,20,20,66.7,100,0,2,15,20,2,0,11,0,0,0,0,28,12,2,2,2,15,3,3,7,5,5,0,8,1,7,2,1,8,Alto,0.663707,18.626411,-98.988651
170040188,17,Morelos,4,Ayala,3,188,Campo el Brasil,19,9,10,50,100,100,0,3,7,0,0,5,1,0,0,0,19,0,1,4,0,13,0,1,5,3,2,0,5,4,5,3,1,3,Muy bajo,0.933957,18.626702,-98.995352
170060114,17,Morelos,6,Cuautla,4,114,Campo Carrizal,13,6,7,0,100,0,0,7,7,0,1,1,0,1,0,0,6,7,1,0,0,6,0,2,2,1,0,3,3,0,2,1,0,2,Alto,0.619918,18.778763,-98.905898
170060136,17,Morelos,6,Cuautla,4,136,Ampliación Iztaccíhuatl,191,95,96,71.4,95,75,6,59,104,6,6,44,5,0,4,5,93,98,35,7,0,72,6,16,43,27,16,7,46,39,43,11,8,42,Bajo,0.871436,18.794451,-98.909058
170080036,17,Morelos,8,Emiliano Zapata,5,36,Campo el Órgano,369,192,177,50,93.9,88,20,101,188,21,15,94,4,7,10,11,250,119,105,2,2,149,9,43,93,50,21,30,100,96,97,17,31,89,Bajo,0.850892,18.830511,-99.175174
170080045,17,Morelos,8,Emiliano Zapata,5,45,Puente Colorado (Campo la Palma),14,5,9,100,100,100,2,5,10,1,2,2,0,0,0,1,6,8,2,0,0,10,2,2,0,1,1,2,4,0,1,2,0,5,Muy alto,0.485438,18.8332,-99.172564
170080057,17,Morelos,8,Emiliano Zapata,5,57,Colonia Modesto Rangel,345,173,172,57.9,97.6,66.7,16,97,182,11,11,79,3,3,8,6,252,93,57,2,0,125,12,36,86,44,34,43,96,91,87,15,14,85,Bajo,0.848365,18.827052,-99.179111
170080072,17,Morelos,8,Emiliano Zapata,5,72,Ojo de Agua,60,30,30,40,77.8,28.6,4,14,33,6,2,9,0,0,0,0,38,22,6,0,0,17,2,8,4,2,5,2,5,4,9,2,1,12,Muy alto,0.571011,18.820106,-99.165582
170090097,17,Morelos,9,Huitzilac,6,97,Los Hongos,108,49,59,42.9,94.4,50,8,27,54,7,5,22,11,1,2,4,37,71,10,9,0,54,7,11,17,20,10,2,32,4,30,2,0,26,Alto,0.709533,19.063069,-99.238079
170090098,17,Morelos,9,Huitzilac,6,98,Barrio Tezoyo (El Cuartel),202,101,101,33.3,100,100,2,29,106,1,5,52,0,1,6,3,141,61,46,23,2,75,1,18,32,36,18,4,52,33,49,12,8,48,Bajo,0.860763,19.061796,-99.240149
170090099,17,Morelos,9,Huitzilac,6,99,Colonia Antonio Segura,121,60,61,50,93.8,100,3,29,69,4,6,25,0,0,10,4,91,30,20,24,3,61,3,12,12,12,10,3,31,7,25,6,5,26,Medio,0.740615,19.053758,-99.235942
170110069,17,Morelos,11,Jiutepec,7,69,Colonia Loma Bonita,360,161,199,51.7,83.3,82.4,20,102,222,28,17,66,4,2,3,12,207,153,107,6,2,225,48,38,74,33,33,15,106,27,89,13,17,96,Alto,0.703437,18.870146,-99.147096
170110072,17,Morelos,11,Jiutepec,7,72,Colonia Luis Donaldo Colosio,135,75,60,27.3,100,90,8,36,43,1,0,54,0,0,2,0,62,73,26,1,0,57,3,11,28,19,10,0,32,31,29,4,9,25,Bajo,0.844577,18.881877,-99.132808
170110078,17,Morelos,11,Jiutepec,7,78,Lomas de Chapultepec,172,76,96,55.6,100,84.6,9,34,79,4,4,54,9,0,3,4,98,71,38,3,1,66,3,20,44,21,15,4,49,46,44,9,10,45,Bajo,0.87106,18.876027,-99.13486
170110083,17,Morelos,11,Jiutepec,7,83,Ampliación Chapultepec,116,60,56,33.3,82.4,80,6,37,67,4,7,13,0,2,2,2,69,46,26,0,0,40,7,12,31,16,14,5,32,13,29,5,8,27,Medio,0.762837,18.870844,-99.141971
170110084,17,Morelos,11,Jiutepec,7,84,Cerro de la Corona,233,129,104,50,94.1,81.8,16,51,113,17,5,65,3,1,3,3,158,75,73,2,0,68,4,22,48,26,13,0,53,53,48,7,12,50,Bajo,0.838436,18.883976,-99.13659
170120002,17,Morelos,12,Jojutla,8,2,Chisco,516,250,266,55.6,96.3,92.1,41,104,203,29,7,202,0,6,25,39,395,121,64,26,17,241,13,46,132,78,45,19,151,150,142,14,34,117,Bajo,0.849902,18.548565,-99.235304
170120009,17,Morelos,12,Jojutla,8,9,Río Seco,238,126,112,60,100,57.1,22,42,89,24,2,93,0,3,6,17,204,34,25,0,0,131,8,13,69,53,26,7,74,75,70,3,28,59,Bajo,0.845823,18.567643,-99.244183
170120014,17,Morelos,12,Jojutla,8,14,Vicente Aranda (San Rafael),335,161,174,64.7,94.7,86.7,15,85,127,10,6,133,0,2,26,47,247,88,52,0,3,159,5,32,93,65,31,7,102,102,93,8,40,71,Bajo,0.869012,18.561006,-99.238213
170130019,17,Morelos,13,Jonacatepec de Leandro Valle,9,19,El Puente Colorado,40,18,22,50,100,100,3,12,24,0,1,11,0,0,2,3,37,3,7,1,1,36,1,2,11,6,7,5,12,10,10,2,0,13,Bajo,0.875633,18.65637067,-98.78643375
170130051,17,Morelos,13,Jonacatepec de Leandro Valle,9,51,Tetelilla,9,6,3,0,100,100,2,3,2,1,0,6,0,0,1,1,9,0,0,0,0,4,0,1,2,2,0,2,3,3,0,0,0,1,Alto,0.617305,18.612861,-98.766259
170130053,17,Morelos,13,Jonacatepec de Leandro Valle,9,53,Colonia San Martín,41,22,19,100,62.5,100,0,11,19,0,3,8,0,0,1,0,40,1,0,0,0,14,1,6,7,2,2,7,10,8,6,0,0,9,Medio,0.738921,18.618274,-98.778598
170180029,17,Morelos,18,Temixco,10,29,Campo Santa Cruz (La Joya),15,6,9,50,100,0,0,6,4,0,0,7,0,1,0,2,14,1,2,0,0,7,1,3,1,0,1,0,3,1,1,0,0,3,Alto,0.602678,18.83303,-99.217955
170180030,17,Morelos,18,Temixco,10,30,Campo Sotelo,1379,732,647,61,95.9,97.1,38,117,720,22,17,398,198,12,45,41,953,426,503,198,8,1515,9,59,442,339,300,74,458,454,446,263,181,443,Muy bajo,0.94312,18.835668,-99.214268
170180052,17,Morelos,18,Temixco,10,52,Campo las Martinicas (Las Higueras),40,19,21,25,100,100,5,6,18,4,0,12,23,0,1,0,21,19,2,3,0,14,3,4,6,3,4,4,8,7,7,1,0,9,Alto,0.695841,18.824019,-99.210747
170180070,17,Morelos,18,Temixco,10,70,Colonia Miguel Hidalgo,565,308,257,52.6,100,100,12,60,310,7,5,163,0,0,6,14,421,144,256,63,0,484,0,17,175,139,118,19,178,180,177,107,82,177,Muy bajo,0.955625,18.841751,-99.21511
170190008,17,Morelos,19,Tepalcingo,11,8,Pitzotlán,43,16,27,33.3,100,0,3,11,28,4,1,6,0,0,0,1,38,5,3,1,0,25,3,3,0,0,8,0,1,16,11,1,0,14,Alto,0.607278,18.586937,-98.893014
170190019,17,Morelos,19,Tepalcingo,11,19,Rancho el Bambú (La Presa),32,18,14,0,50,33.3,4,7,16,2,0,8,0,1,0,0,29,3,0,0,0,9,0,3,4,3,1,1,5,4,4,1,0,4,Alto,0.651322,18.586967,-98.830795
170190031,17,Morelos,19,Tepalcingo,11,31,Colonia Buenos Aires,46,21,25,50,100,100,3,17,25,2,0,12,0,0,0,0,31,15,2,2,0,34,6,5,7,5,4,7,14,12,12,0,0,14,Medio,0.73097,18.583739,-98.845695
170190043,17,Morelos,19,Tepalcingo,11,43,Colonia Emiliano Zapata,29,13,16,0,100,0,2,13,12,1,0,10,0,0,1,0,21,8,2,1,0,17,1,5,1,4,2,2,7,7,5,0,0,8,Alto,0.677672,18.588799,-98.854231
170190051,17,Morelos,19,Tepalcingo,11,51,La Joya,20,8,12,100,100,0,3,10,8,0,1,9,0,0,0,3,13,7,2,0,0,9,3,1,1,2,1,1,6,5,5,0,0,3,Alto,0.654884,18.588022,-98.839349
170220012,17,Morelos,22,Tetela del Volcan,12,12,El Malinal,29,15,14,50,100,0,3,9,19,4,1,0,0,1,1,0,28,1,0,0,0,8,5,5,3,2,2,0,8,8,3,0,0,4,Alto,0.60823,18.907641,-98.728682
170240002,17,Morelos,24,Tlaltizapan de Zapata,13,2,Acamilpa,1885,961,924,62.5,95.3,85.9,103,360,796,34,19,729,11,6,44,96,1533,352,804,88,6,751,29,136,497,365,197,59,554,553,540,136,242,451,Muy bajo,0.896812,18.715474,-99.159442
170240080,17,Morelos,24,Tlaltizapan de Zapata,13,80,Colonia Francisco Javier Mina,38,20,18,100,80,100,4,10,16,2,0,15,0,0,0,1,34,4,9,4,0,38,2,3,1,2,3,0,4,13,8,0,0,11,Alto,0.648872,18.711297,-99.136884
170240084,17,Morelos,24,Tlaltizapan de Zapata,13,84,El Texcal,54,24,30,50,100,0,2,12,26,2,2,10,0,0,2,0,38,16,3,0,0,13,4,8,9,2,4,5,11,1,8,1,0,10,Alto,0.690058,18.714769,-99.161939
170250012,17,Morelos,25,Tlaquiltenango,14,12,Lorenzo Vázquez (Santa Cruz),837,429,408,39.5,95.5,77.6,64,238,400,26,16,243,0,8,12,27,715,122,127,7,2,344,10,74,219,118,73,35,240,210,214,19,112,139,Bajo,0.852519,18.573944,-99.073561
170250038,17,Morelos,25,Tlaquiltenango,14,38,Los Dormidos,38,17,21,50,80,50,3,11,20,2,2,10,0,0,1,0,29,9,1,0,0,17,6,5,3,1,2,1,10,7,8,0,0,9,Alto,0.617134,18.60427,-99.079036
170260006,17,Morelos,26,Tlayacapan,15,6,Nacatongo,1136,571,565,60.8,98.8,86.3,54,214,626,53,36,208,37,11,46,24,824,312,128,41,3,378,18,139,237,159,90,35,307,292,277,61,62,266,Bajo,0.852732,18.946595,-98.980044
170260017,17,Morelos,26,Tlayacapan,15,17,Colonia Texalo (La Cerámica),361,194,167,69.2,100,93.3,14,73,197,5,10,100,3,1,5,10,244,113,67,25,0,155,9,34,75,50,43,12,94,93,90,30,31,89,Muy bajo,0.889299,18.941981,-98.976336
170260034,17,Morelos,26,Tlayacapan,15,34,Colonia Joyas del Astillero,93,42,51,37.5,78.6,100,9,26,37,5,1,29,0,0,1,2,55,38,6,3,0,139,7,9,20,9,14,4,23,13,22,6,4,25,Alto,0.669322,18.938765,-98.950523
170280085,17,Morelos,28,Xochitepec,16,85,Colonia Loma Bonita,12,5,7,0,100,0,0,2,6,0,0,4,0,0,0,0,6,6,6,0,0,4,0,0,3,3,2,2,3,3,3,0,1,2,Muy bajo,0.976818,18.812272,-99.267215
170280074,17,Morelos,28,Xochitepec,16,74,Loma del Tepehuaje,15,7,8,0,50,100,0,9,7,0,1,5,0,0,0,0,8,7,0,0,0,10,1,2,3,1,2,0,3,0,1,1,0,3,Muy alto,0.563029,18.808304,-99.261274
170280075,17,Morelos,28,Xochitepec,16,75,Plan de Tlazala,25,11,14,50,100,0,2,7,14,3,2,5,0,0,0,0,17,8,3,0,0,9,1,3,7,3,5,1,7,7,7,1,1,6,Bajo,0.845495,18.799124,-99.25071
170280076,17,Morelos,28,Xochitepec,16,76,La Presa,28,10,18,0,100,33.3,6,6,14,7,0,4,0,0,0,0,23,5,1,0,0,6,1,3,3,0,0,0,4,2,2,0,0,3,Muy alto,0.539672,18.793698,-99.257271
170280111,17,Morelos,28,Xochitepec,16,111,Colonia las Flores,906,452,454,44.3,94.3,90.5,27,273,446,17,32,248,46,5,29,13,540,364,149,22,6,317,41,110,198,100,72,40,222,197,212,36,43,206,Bajo,0.833304,18.809918,-99.252455
170290014,17,Morelos,29,Yautepec,17,14,San Isidro,1153,599,554,68.9,98.4,93.8,69,202,559,29,20,338,369,5,19,45,808,344,209,38,1,525,18,111,282,185,115,21,316,307,306,68,90,281,Muy bajo,0.882133,18.822442,-99.094012
170290117,17,Morelos,29,Yautepec,17,117,El Fortín,208,104,104,46.2,95.8,85,13,71,92,11,3,66,11,1,5,8,130,78,10,17,0,89,13,24,41,17,18,5,49,15,43,3,5,46,Alto,0.684409,18.825045,-99.104388
